proceeding_name,year
"2023 International Conference on Radar, Antenna, Microwave, Electronics, and Telecommunications, ICRAMET 2023",2021
"12th International Conference on Networks, Communication and Computing, Conference Proceedings, ICNCC 2023",2023
"3rd International Conference on Bioinformatics and Intelligent Computing, BIC 2023",2023
"18th ACM ASIA Conference on Computer and Communications Security, ASIA CCS 2023",2024
"9th International Conference on Big Data Computing and Communications, BigCom 2023",2023
"22th International Conference on Database Theory, ICDT 2019",2019
"7th Workshop on Data Management for End-To-End Machine Learning, DEEM 2023",2023
"2nd International Conference on Data Analytics, Computing and Artificial Intelligence, ICDACAI 2023",2021
"2023 IEEE Symposium on Visualization for Cyber Security, VizSec 2023",2023
"18th International Conference on Ubiquitous Information Management and Communication, IMCOM 2024",2021
"6th IEEE Pune Section International Conference, PuneCon 2023",2023
"1st IEEE Colombian Caribbean Conference, C3 2023",2021
"20th Genetic and Evolutionary Computation Conference Companion, GECCO 2023",2021
"20th Free and Open Source Software for Geospatial, FOSS4G 2023",2023
"27th ACM International Systems and Software Product Line Conference, SPLC 2023",2023
"2023 ACM Turing Award Celebration Conference, CHINA 2023",2023
"7th International Conference on Video and Image Processing, ICVIP 2023",2023
"7th International Conference on Big Data and Internet of Things, BDIOT 2023",2023
"4th International Workshop on Computational Approaches to Historical Language Change, LChange 2023",2021
"2nd International Conference on Advances in Computational Intelligence and Communication, ICACIC 2023",2021
"19th International Symposium on Medical Information Processing and Analysis, SIPAIM 2023",2021
"32nd International Symposium on High-Performance Parallel and Distributed Computing, HPDC 2023",2021
"8th IEEE Asia Pacific Conference on Wireless and Mobile, APWiMob 2023",2023
"11th International Conference on Information Systems and Computing Technology, ISCTech 2023",2021
"2023 ACM/SIGMOD International Conference on Management of Data, SIGMOD 2023",2023
"9th International Conference on Computing and Artificial Intelligence, ICCAI 2023",2023
"1st IEEE Afro-Mediterranean Conference on Artificial Intelligence, AMCAI 2023",2020
"55th Annual ACM Symposium on Theory of Computing, STOC 2023",2021
"28th International Conference on Intelligent User Interfaces, IUI 2023",2022
"2nd International Conference on Intelligent Computing and Next Generation Networks, ICNGN 2023",2024
"6th International Conference on Signal Processing and Machine Learning, SPML 2023",2023
"2nd International Conference on Ambient Intelligence in Health Care, ICAIHC 2023",2022
"31st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL GIS 2023",2022
"12th International Symposium on Mobile Mapping Technology, MMT 2023",2021
"8th International Conference on Information and Education Innovations, ICIEI 2023",2023
"16th IEEE Malaysia International Conference on Communication, MICC 2023",2021
"2023 IEEE Latin American Conference on Computational Intelligence, LA-CCI 2023",2023
"2023 CHI Conference on Human Factors in Computing Systems, CHI 2023",2022
20th Geoinformation Week: Broadening Geospatial Science and Technology 2022,2023
"2023 IEEE International Conference on Visual Communications and Image Processing, VCIP 2023",2022
"1st International Conference on Recent Developments in Electronics and Communication Systems, RDECS 2022",2020
"27th International Database Engineered Applications Symposium, IDEAS 2023",2023
"3rd International Conference on Biological Engineering and Medical Science, ICBioMed 2023",2023
"14th International Conference on Intelligent Systems: Theories and Applications, SITA 2023",2022
"18th International Symposium on Spatial and Temporal Data, SSTD 2023",2022
"8th International Conference on Informatics and Computing, ICIC 2023",2023
"3rd International Conference on Evolutionary Computing and Mobile Sustainable Networks, ICECMSN 2023",2023
"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023",2023
"6th International Conference on Information and Communications Technology, ICOIACT 2023",2023
"37th ACM International Conference on Supercomputing, ICS 2023",2023
"7th International Conference on Electronics, Materials Engineering and Nano-Technology, IEMENTech 2023",2023
"2023 IEEE International Conference on Next Generation Electronics, NEleX 2023",2021
"2023 Smart Systems Integration Conference and Exhibition, SSI 2023",2020
"2023 International Conference on the Confluence of Advancements in Robotics, Vision and Interdisciplinary Technology Management, IC-RVITM 2023",2023
"8th International Conference on Control Engineering and Artificial Intelligence, CCEAI 2024",2024
"23rd International Conference on Computing Education Research, Koli Calling 2023",2023
"2024 International Conference on Electronics, Information, and Communication, ICEIC 2024",2021
"23th International Conference on Database Theory, ICDT 2020",2020
"14th ACM Symposium on Cloud Computing, SoCC 2023",2021
2023 Findings of the Association for Computational Linguistics: EMNLP 2023,2022
"29th CIPA Symposium on Documenting, Understanding, Preserving Cultural Heritage. Humanities and Digital Technologies for Shaping the Future 2023",2024
"2023 IEEE International Workshop on Mechatronics Systems Supervision, IW_MSS 2023",2022
"3rd International Conference on Innovative Sustainable Computational Technologies, CISCT 2023",2023
"14th ACM/IEEE International Conference on Cyber-Physical Systems, with CPS-IoT Week 2023, ICCPS 2023",2020
"29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD 2023",2021
"9th International Conference on Big Data and Information Analytics, BigDIA 2023",2023
"18th Conference of the European Chapter of the Association for Computational Linguistics, EACL 2024",2021
"46th International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR 2023",2022
"11th International Symposium on Computing and Networking Workshops, CANDARW 2023",2024
"24th International Conference on Database Theory, ICDT 2021",2021
"1st Workshop on Computational Terminology in NLP and Translation Studies, ConTeNTS 2023",2023
"32nd ACM SIGSOFT International Symposium on Software Testing and Analysis, ISSTA 2023",2021
"28th ACM SIGPLAN Annual Symposium on Principles and Practice of Parallel Programming, PPoPP 2023",2021
"19th IEEE International Conference on e-Business Engineering, ICEBE 2023",2023
"14th ACM Conference on Bioinformatics, Computational Biology, and Health Informatics, ACM-BCB 2023",2020
"22nd International Conference of the Biometrics Special Interest Group, BIOSIG 2023",2023
"3rd IEEE International Conference on ICT in Business Industry and Government, ICTBIG 2023",2023
"2023 Symposium on Internet of Things, SIoT 2023",2021
"20th IEEE High Performance Extreme Computing Conference, HPEC 2023",2024
"8th ACM SIGIR Conference on Human Information Interaction and Retrieval, CHIIR 2023",2023
"21st International Conference on Advanced Robotics, ICAR 2023",2020
"6th IEEE Conference on Dependable and Secure Computing, DSC 2023",2023
"25th International Conference on Database Theory, ICDT 2022",2022
"6th International Conference on Electronics, Communications and Control Engineering, ICECC 2023",2023
"12th IEEE International Conference on Communication, Networks and Satellite, COMNETSAT 2023",2022
